speaker,segment,repetition,frame,coord,point,pixel
1,s,1,2,y,77,229.79
1,s,1,2,y,78,231.17
1,s,1,2,y,79,232.72
1,s,1,2,y,80,234.35
1,s,1,2,y,81,235.98
1,s,1,2,y,82,237.62
1,s,1,2,y,83,239.25
1,s,1,2,y,84,240.88
1,s,1,2,y,85,242.53
1,s,1,2,y,86,244.18
1,s,1,2,y,87,245.83
1,s,1,2,y,88,247.54
1,s,1,2,y,89,249.36
1,s,1,2,y,90,251.18
1,s,1,2,y,91,253.09
1,s,1,2,y,92,255.21
1,s,1,2,y,93,257.33
1,s,1,2,y,94,259.45
1,s,1,2,y,95,261.55
1,s,1,2,y,96,263.65
1,s,1,2,y,97,265.73
1,s,1,2,y,98,267.69
1,s,1,2,y,99,269.64
1,s,1,2,y,100,271.6
1,s,1,3,x,1,184.38
1,s,1,3,x,2,186
1,s,1,3,x,3,187.62
1,s,1,3,x,4,189.23
1,s,1,3,x,5,190.86
1,s,1,3,x,6,192.49
1,s,1,3,x,7,194.11
1,s,1,3,x,8,195.87
1,s,1,3,x,9,197.67
1,s,1,3,x,10,199.47
1,s,1,3,x,11,201.45
1,s,1,3,x,12,203.53
1,s,1,3,x,13,205.61
1,s,1,3,x,14,207.89
1,s,1,3,x,15,210.34
1,s,1,3,x,16,212.79
1,s,1,3,x,17,215.3
1,s,1,3,x,18,217.9
1,s,1,3,x,19,220.51
1,s,1,3,x,20,223.22
1,s,1,3,x,21,226.2
1,s,1,3,x,22,229.18
1,s,1,3,x,23,232.16
1,s,1,3,x,24,235.16
1,s,1,3,x,25,238.16
1,s,1,3,x,26,241.16
1,s,1,3,x,27,244.28
1,s,1,3,x,28,247.4
1,s,1,3,x,29,250.51
1,s,1,3,x,30,253.89
1,s,1,3,x,31,257.28
1,s,1,3,x,32,260.67
1,s,1,3,x,33,264.04
1,s,1,3,x,34,267.41
1,s,1,3,x,35,270.78
1,s,1,3,x,36,274.25
1,s,1,3,x,37,277.76
1,s,1,3,x,38,281.27
1,s,1,3,x,39,284.82
1,s,1,3,x,40,288.38
1,s,1,3,x,41,291.95
1,s,1,3,x,42,295.53
1,s,1,3,x,43,299.13
1,s,1,3,x,44,302.73
1,s,1,3,x,45,306.37
1,s,1,3,x,46,310.08
1,s,1,3,x,47,313.79
1,s,1,3,x,48,317.52
1,s,1,3,x,49,321.27
1,s,1,3,x,50,325.02
1,s,1,3,x,51,328.77
1,s,1,3,x,52,332.51
1,s,1,3,x,53,336.25
1,s,1,3,x,54,339.98
1,s,1,3,x,55,343.67
1,s,1,3,x,56,347.36
1,s,1,3,x,57,351.04
1,s,1,3,x,58,354.71
1,s,1,3,x,59,358.38
1,s,1,3,x,60,362.06
1,s,1,3,x,61,365.72
1,s,1,3,x,62,369.39
1,s,1,3,x,63,373.05
1,s,1,3,x,64,376.7
1,s,1,3,x,65,380.35
1,s,1,3,x,66,383.98
1,s,1,3,x,67,387.63
1,s,1,3,x,68,391.27
1,s,1,3,x,69,394.88
1,s,1,3,x,70,398.47
1,s,1,3,x,71,402.07
1,s,1,3,x,72,405.67
1,s,1,3,x,73,409.27
1,s,1,3,x,74,412.83
1,s,1,3,x,75,416.39
1,s,1,3,x,76,419.95
1,s,1,3,x,77,423.5
1,s,1,3,x,78,427.06
1,s,1,3,x,79,430.62
1,s,1,3,x,80,434.18
1,s,1,3,x,81,437.74
1,s,1,3,x,82,441.3
